Time,Planet0_x,Planet1_x,Planet2_x,Planet3_x,Planet0_y,Planet1_y,Planet2_y,Planet3_y
2.15,0.0798844,-0.10621,-1.25929,-1.31695,-0.138609,0.0390867,0.479641,0.379983
2.16,0.0856032,-0.130499,-1.24597,-1.33719,-0.139333,0.0237116,0.483759,0.405451
2.17,0.0904019,-0.152486,-1.23451,-1.35279,-0.139374,0.00655517,0.486046,0.434844
2.18,0.0942969,-0.172217,-1.22505,-1.36344,-0.138877,-0.0119823,0.487299,0.466363
2.19,0.0973127,-0.189759,-1.21742,-1.36951,-0.137959,-0.0315715,0.488153,0.498573
2.2,0.0994778,-0.205188,-1.21134,-1.37163,-0.136719,-0.0519393,0.48903,0.530515
2.21,0.100821,-0.218584,-1.20653,-1.37046,-0.135239,-0.0728565,0.490182,0.561616
2.22,0.101373,-0.230026,-1.20271,-1.3666,-0.133588,-0.0941287,0.491747,0.59156
2.23,0.10116,-0.239589,-1.19968,-1.36053,-0.131826,-0.115589,0.493792,0.620189
2.24,0.10021,-0.247345,-1.19725,-1.35266,-0.130005,-0.137091,0.496343,0.64744
2.25,0.0985466,-0.253358,-1.19528,-1.34331,-0.128172,-0.158508,0.499405,0.673299
2.26,0.0961933,-0.257689,-1.19367,-1.33273,-0.126367,-0.179722,0.502967,0.697784
2.27,0.0931711,-0.260394,-1.19232,-1.32114,-0.124628,-0.200629,0.507014,0.720928
2.28,0.0894997,-0.261525,-1.19116,-1.30869,-0.12299,-0.22113,0.511526,0.74277
2.29,0.0851969,-0.261127,-1.19013,-1.29554,-0.121486,-0.241134,0.516485,0.763352
2.3,0.0802796,-0.259245,-1.18917,-1.28181,-0.120149,-0.26055,0.521869,0.782717
2.31,0.0747631,-0.255919,-1.18826,-1.26758,-0.11901,-0.279292,0.527661,0.800903
2.32,0.068662,-0.251186,-1.18734,-1.25295,-0.1181,-0.297272,0.533843,0.817949
2.33,0.06199,-0.245081,-1.1864,-1.23799,-0.117451,-0.314402,0.540398,0.83389
2.34,0.0547604,-0.23764,-1.1854,-1.22276,-0.117096,-0.330589,0.547312,0.848757
2.35,0.0469861,-0.228896,-1.18432,-1.20732,-0.11707,-0.345738,0.55457,0.86258
2.36,0.0386804,-0.218884,-1.18314,-1.19172,-0.11741,-0.359746,0.562161,0.875382
2.37,0.029857,-0.207639,-1.18184,-1.176,-0.118155,-0.372501,0.570073,0.887189
2.38,0.0205311,-0.195203,-1.1804,-1.16022,-0.119349,-0.383882,0.578297,0.898019
2.39,0.0107196,-0.181619,-1.17881,-1.1444,-0.121042,-0.393756,0.586822,0.907891
2.4,0.000442623,-0.166943,-1.17705,-1.12859,-0.123285,-0.401971,0.595641,0.916819
2.41,-0.0102753,-0.15124,-1.17511,-1.11281,-0.126141,-0.40836,0.604746,0.924817
2.42,-0.0214033,-0.134594,-1.17297,-1.09712,-0.129679,-0.412729,0.614132,0.931895
2.43,-0.0329012,-0.117115,-1.17062,-1.08153,-0.133977,-0.414861,0.623792,0.938062
2.44,-0.0447157,-0.0989464,-1.16804,-1.06609,-0.139125,-0.414504,0.633721,0.943324
2.45,-0.0567747,-0.0802864,-1.16522,-1.05083,-0.145228,-0.411372,0.643916,0.947687
2.46,-0.0689792,-0.0614057,-1.16214,-1.03578,-0.152403,-0.405137,0.654373,0.951153
2.47,-0.0811911,-0.0426825,-1.1588,-1.02099,-0.160782,-0.395437,0.665088,0.953724
2.48,-0.0932163,-0.0246484,-1.15516,-1.00649,-0.170504,-0.38188,0.67606,0.955398
2.49,-0.104782,-0.00805252,-1.15123,-0.992336,-0.181709,-0.364087,0.687288,0.956176
2.5,-0.115507,0.00606219,-1.14696,-0.978567,-0.194502,-0.341762,0.69877,0.956053
2.51,-0.124882,0.016292,-1.14235,-0.965237,-0.208899,-0.314858,0.710505,0.955025
2.52,-0.132269,0.0208909,-1.13738,-0.952405,-0.22473,-0.283844,0.722495,0.953087
2.53,-0.136999,0.0180183,-1.132,-0.940136,-0.241511,-0.250045,0.734741,0.950234
2.54,-0.138586,0.00633978,-1.1262,-0.928507,-0.258386,-0.215816,0.747243,0.94646
2.55,-0.137002,-0.014216,-1.11994,-0.917602,-0.27426,-0.184166,0.760002,0.941759
2.56,-0.132784,-0.042173,-1.11317,-0.907521,-0.28815,-0.157798,0.773019,0.936129
2.57,-0.126824,-0.0750739,-1.10584,-0.898384,-0.299498,-0.138244,0.786292,0.929568
2.58,-0.120034,-0.110413,-1.09789,-0.890331,-0.308221,-0.125728,0.799817,0.922082
2.59,-0.113124,-0.146232,-1.08925,-0.883532,-0.314547,-0.119623,0.813585,0.913686
2.6,-0.106567,-0.181235,-1.07983,-0.878197,-0.318827,-0.118959,0.827578,0.904415
2.61,-0.10064,-0.214653,-1.06951,-0.874585,-0.321421,-0.122743,0.841765,0.894332
2.62,-0.0954927,-0.246075,-1.05814,-0.87302,-0.322648,-0.130098,0.856092,0.883551
2.63,-0.091196,-0.275304,-1.04556,-0.87391,-0.322772,-0.140289,0.870467,0.872275
2.64,-0.0877731,-0.302276,-1.03153,-0.877759,-0.322011,-0.15272,0.884729,0.860859
2.65,-0.085221,-0.326994,-1.01579,-0.885166,-0.320537,-0.166909,0.898601,0.849919
2.66,-0.0835228,-0.349503,-0.998075,-0.89675,-0.318492,-0.182468,0.911609,0.840522
2.67,-0.0826545,-0.369867,-0.978221,-0.912869,-0.31599,-0.199079,0.922978,0.834405
2.68,-0.0825889,-0.388158,-0.956481,-0.932964,-0.313127,-0.216481,0.931624,0.834006
